MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-d260db4,294.8,0.62,QMOF reference
qmof-56439ce,354.5,0.65,QMOF reference
qmof-42663e9,449.7,0.24,QMOF reference
qmof-1f33604,300.0,0.71,QMOF reference
qmof-ae6b8ab,294.3,0.52,QMOF reference
qmof-3bba393,,FAILED,QMOF reference
qmof-4a7f3f1,341.4,0.26,QMOF reference
qmof-852524d,361.7,0.42,QMOF reference
qmof-2d0ea93,283.3,0.89,QMOF reference
qmof-0691242,348.8,0.66,QMOF reference
qmof-d286c59,366.4,0.37,QMOF reference
qmof-de5d995,422.4,0.56,QMOF reference
qmof-fead38a,310.0,0.34,QMOF reference
qmof-9bef09e,387.8,0.95,QMOF reference
qmof-cad0a5d,280.6,0.85,QMOF reference
qmof-df6c211,345.2,0.76,QMOF reference
qmof-3179146,407.8,0.62,QMOF reference
qmof-dbb4261,332.4,0.72,QMOF reference
qmof-1de8e14,367.8,0.21,QMOF reference
qmof-b22af88,,FAILED,QMOF reference
qmof-3c12109,310.0,0.7,QMOF reference
qmof-300c221,345.1,0.37,QMOF reference
qmof-552976d,351.4,0.95,QMOF reference
qmof-9c0d1a4,237.2,0.52,QMOF reference
qmof-9179878,,FAILED,QMOF reference
qmof-d497239,348.4,0.88,QMOF reference
qmof-14345c5,380.8,0.72,QMOF reference
qmof-b61d76e,,FAILED,QMOF reference
qmof-65e6cf9,406.2,0.91,QMOF reference
qmof-cafe978,348.3,0.82,QMOF reference
qmof-2011a0f,349.1,0.59,QMOF reference
qmof-43bff6e,405.9,0.91,QMOF reference
qmof-a61451b,411.5,0.9,QMOF reference
qmof-cc31ba7,280.9,0.06,QMOF reference
qmof-7af20fe,277.9,0.6,QMOF reference
qmof-589dd74,362.3,0.65,QMOF reference
qmof-46fd06d,,FAILED,QMOF reference
qmof-41412a3,345.1,0.89,QMOF reference
qmof-81946c9,332.2,0.24,QMOF reference
qmof-1c59969,363.7,0.01,QMOF reference
qmof-3763142,366.7,0.25,QMOF reference
qmof-1566e59,292.0,0.31,QMOF reference
qmof-9a1b21d,323.9,0.9,QMOF reference
qmof-d6eb27e,272.0,0.91,QMOF reference
qmof-12fb18b,305.6,0.93,QMOF reference
qmof-4bfccae,,FAILED,QMOF reference
qmof-8242b5b,367.0,0.94,QMOF reference
qmof-a3c4a06,239.3,0.7,QMOF reference
qmof-e697da3,,FAILED,QMOF reference
qmof-dd0e039,337.2,0.89,QMOF reference
qmof-76350eb,366.8,0.86,QMOF reference
qmof-ed45178,420.9,0.56,QMOF reference
qmof-897f0d9,255.1,0.92,QMOF reference
qmof-c02448f,273.0,0.79,QMOF reference
qmof-0d3e46d,332.1,0.24,QMOF reference
qmof-8205831,265.5,0.81,QMOF reference
qmof-2b037bc,,FAILED,QMOF reference
qmof-aaa921d,321.4,0.86,QMOF reference
qmof-ffc9870,,FAILED,QMOF reference
qmof-462a448,345.7,0.84,QMOF reference
qmof-2235ac6,415.8,0.37,QMOF reference
qmof-3b3cb71,286.2,0.31,QMOF reference
qmof-4ee0d95,387.4,0.68,QMOF reference
qmof-b0c9185,322.6,0.21,QMOF reference
qmof-2bff013,313.9,0.85,QMOF reference
qmof-38301b9,146.3,0.91,QMOF reference
qmof-00d09fe,302.7,0.95,QMOF reference
qmof-32c9b25,370.7,0.3,QMOF reference
qmof-6f382a4,345.5,0.66,QMOF reference
qmof-759863e,,FAILED,QMOF reference
qmof-26e33a1,255.1,0.68,QMOF reference
qmof-fec62ce,296.0,0.8,QMOF reference
qmof-ca43af8,,FAILED,QMOF reference
qmof-6469d8b,215.1,0.25,QMOF reference
qmof-4e884d7,297.2,0.48,QMOF reference
qmof-13acee7,339.5,0.95,QMOF reference
qmof-7527a5f,,FAILED,QMOF reference
qmof-ad655ba,364.9,0.18,QMOF reference
qmof-c91ed91,188.0,0.57,QMOF reference
qmof-954f79c,432.3,0.42,QMOF reference
qmof-e78a509,318.4,0.68,QMOF reference
qmof-abd6069,256.3,0.44,QMOF reference
qmof-63a633f,246.2,0.95,QMOF reference
qmof-d9f3f47,353.8,0.52,QMOF reference
qmof-c8b2cfa,410.4,0.79,QMOF reference
qmof-0c10f91,300.2,0.1,QMOF reference
qmof-2d358d1,368.8,0.82,QMOF reference
qmof-89c9846,285.3,0.28,QMOF reference
qmof-fa3fd47,260.0,0.86,QMOF reference
qmof-5b57e19,295.8,0.67,QMOF reference
qmof-84d406d,,FAILED,QMOF reference
qmof-e44c0f4,377.6,0.93,QMOF reference
qmof-54ec179,337.7,0.3,QMOF reference
qmof-9747309,318.5,0.88,QMOF reference
qmof-f8bf70a,265.5,0.8,QMOF reference
qmof-fd1f89a,,FAILED,QMOF reference
qmof-d490fff,286.2,0.49,QMOF reference
qmof-56e34ef,313.6,0.91,QMOF reference
qmof-0fa4d72,292.7,0.61,QMOF reference
qmof-14332ab,358.0,0.86,QMOF reference
qmof-2d48467,306.9,0.4,QMOF reference
qmof-5cb1239,294.7,0.89,QMOF reference
qmof-7cb1107,410.7,0.63,QMOF reference
qmof-f391693,255.6,0.59,QMOF reference
qmof-d7359ca,391.7,0.3,QMOF reference
qmof-f567454,449.7,0.08,QMOF reference
qmof-b5b7724,393.4,0.76,QMOF reference
qmof-5d6af87,242.3,0.53,QMOF reference
qmof-7980106,354.4,0.42,QMOF reference
qmof-ea98c1b,241.5,0.28,QMOF reference
qmof-39429bc,357.8,0.66,QMOF reference
qmof-24832d5,310.2,0.57,QMOF reference
qmof-4a51a86,304.2,0.61,QMOF reference
qmof-e4f98a0,324.5,0.75,QMOF reference
qmof-782ea07,,FAILED,QMOF reference
qmof-fa0fb1d,326.4,0.75,QMOF reference
qmof-2d973a8,,FAILED,QMOF reference
qmof-fe8a0d3,278.6,0.69,QMOF reference
qmof-a0e80c5,302.7,0.79,QMOF reference
qmof-3f1edc7,271.1,0.27,QMOF reference
qmof-85cd36a,,FAILED,QMOF reference
qmof-6993068,333.9,0.44,QMOF reference
qmof-f18d717,362.1,0.8,QMOF reference
qmof-0cad810,318.4,0.6,QMOF reference
qmof-3fb24cf,345.6,0.78,QMOF reference
qmof-7f3ae47,227.2,0.41,QMOF reference
qmof-c14118a,342.3,0.72,QMOF reference
qmof-ddfc64a,322.4,0.82,QMOF reference
qmof-db849d6,302.8,0.46,QMOF reference
qmof-ca25516,326.2,0.84,QMOF reference
qmof-10c5024,236.5,0.94,QMOF reference
qmof-30d0a05,284.1,0.69,QMOF reference
qmof-2e932db,293.3,0.89,QMOF reference
qmof-90710c8,347.3,0.17,QMOF reference
qmof-2bc26d1,,FAILED,QMOF reference
qmof-abf8164,332.4,0.63,QMOF reference
qmof-8c6011b,289.2,0.79,QMOF reference
qmof-16de531,296.4,0.32,QMOF reference
qmof-ba20815,363.7,0.9,QMOF reference
qmof-618d03c,,FAILED,QMOF reference
qmof-1af6ce2,337.6,0.14,QMOF reference
qmof-5ea9819,327.9,0.37,QMOF reference
qmof-a44c398,,FAILED,QMOF reference
qmof-03c6ba9,414.1,0.01,QMOF reference
qmof-89f0067,381.7,0.72,QMOF reference
qmof-7a6145a,356.2,0.71,QMOF reference
qmof-eadf796,,FAILED,QMOF reference
qmof-927d241,426.7,0.75,QMOF reference
qmof-edd39e3,272.4,0.14,QMOF reference
qmof-83d4ba2,312.3,0.3,QMOF reference
qmof-49f5ae1,290.8,0.98,QMOF reference
qmof-5963db4,259.9,0.86,QMOF reference
qmof-606e1e2,356.4,0.21,QMOF reference
qmof-885c941,342.5,0.17,QMOF reference
qmof-c8c6644,,FAILED,QMOF reference
qmof-6d456c1,316.6,0.79,QMOF reference
qmof-815fc2b,304.0,0.77,QMOF reference
