MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-275e0ea,,0.73,QMOF reference
qmof-238574b,400.3,FAILED,QMOF reference
qmof-ccef97a,,0.77,QMOF reference
qmof-be99418,353.1,0.5,QMOF reference
qmof-29bbb41,,0.94,QMOF reference
qmof-ee3611d,,0.89,QMOF reference
qmof-4a83905,,0.61,QMOF reference
qmof-3742f27,340.3,0.47,QMOF reference
qmof-7e159a3,309.8,0.82,QMOF reference
qmof-268888c,,0.42,QMOF reference
qmof-4995cf5,,0.78,QMOF reference
qmof-e9c75ec,339.3,0.91,QMOF reference
qmof-836a415,,0.65,QMOF reference
qmof-e39683b,,0.94,QMOF reference
qmof-748d4ab,,0.45,QMOF reference
qmof-80ae316,,0.82,QMOF reference
qmof-6b4b6aa,367.6,0.93,QMOF reference
qmof-4d614ec,,0.35,QMOF reference
qmof-bf18e45,446.4,0.61,QMOF reference
qmof-85f265d,,0.95,QMOF reference
qmof-9faa0fb,,0.36,QMOF reference
qmof-0e5bf14,,0.7,QMOF reference
qmof-09865e1,,0.95,QMOF reference
qmof-68233bd,312.8,0.3,QMOF reference
qmof-f2b9c90,,0.58,QMOF reference
qmof-ca08021,249.3,0.77,QMOF reference
qmof-36aebf6,375.1,FAILED,QMOF reference
qmof-6868cb6,328.4,0.82,QMOF reference
qmof-056750f,,0.93,QMOF reference
qmof-0ae2a1b,,0.56,QMOF reference
qmof-b03edbf,385.6,FAILED,QMOF reference
qmof-41ca5a1,,0.78,QMOF reference
qmof-355afa1,,FAILED,QMOF reference
qmof-edc5795,309.5,0.54,QMOF reference
qmof-9a46c91,,0.81,QMOF reference
qmof-fe2e2aa,,0.88,QMOF reference
qmof-b82bfcb,296.1,0.71,QMOF reference
qmof-41d1d42,,FAILED,QMOF reference
qmof-78e449b,,0.2,QMOF reference
qmof-a880c0d,295.4,0.89,QMOF reference
qmof-2b1d7b8,,0.88,QMOF reference
qmof-ccf5c0f,,0.88,QMOF reference
qmof-9eb7ef8,413.7,0.92,QMOF reference
qmof-597b5a3,,FAILED,QMOF reference
qmof-923d007,297.3,0.39,QMOF reference
qmof-b61d3a1,,0.46,QMOF reference
qmof-eb34482,356.3,0.83,QMOF reference
qmof-53df169,,0.84,QMOF reference
qmof-dcfb961,,0.63,QMOF reference
qmof-f535eda,336.7,0.24,QMOF reference
qmof-00f7b5b,353.4,0.42,QMOF reference
qmof-33414d4,,0.77,QMOF reference
qmof-41e78d0,329.4,0.21,QMOF reference
qmof-5d392be,,0.95,QMOF reference
qmof-6a95fdb,,0.86,QMOF reference
qmof-28be62a,411.6,0.15,QMOF reference
qmof-2a5ad82,348.2,0.96,QMOF reference
qmof-60e5f9b,,FAILED,QMOF reference
qmof-3391747,315.2,0.72,QMOF reference
qmof-c7f9786,,0.83,QMOF reference
qmof-cad88a0,267.5,FAILED,QMOF reference
qmof-bcbd585,,0.86,QMOF reference
qmof-17c6faa,,0.75,QMOF reference
qmof-1c2a03e,302.5,0.74,QMOF reference
qmof-9e3cf39,284.4,0.83,QMOF reference
qmof-68ec4be,263.0,0.82,QMOF reference
qmof-5de5775,,0.93,QMOF reference
qmof-ffe63dd,273.4,0.81,QMOF reference
qmof-9eca0ee,350.6,0.41,QMOF reference
qmof-00cae02,,FAILED,QMOF reference
qmof-2fffa21,293.3,0.35,QMOF reference
qmof-f4eeaf7,,0.82,QMOF reference
qmof-39f7c30,,FAILED,QMOF reference
qmof-1b02e29,,0.64,QMOF reference
qmof-dbd6833,312.7,0.62,QMOF reference
qmof-a0b0c6b,,FAILED,QMOF reference
qmof-5724417,,0.92,QMOF reference
qmof-779ce9c,306.6,0.94,QMOF reference
qmof-d0ed08c,,0.86,QMOF reference
qmof-1196d66,,0.8,QMOF reference
qmof-f7232de,304.8,0.61,QMOF reference
qmof-1c152b7,,0.86,QMOF reference
qmof-0a253bb,408.9,0.78,QMOF reference
qmof-b1f48a1,,0.16,QMOF reference
qmof-792627f,303.0,0.44,QMOF reference
qmof-508b13f,355.3,0.79,QMOF reference
qmof-79e46ad,,0.89,QMOF reference
qmof-fe916fb,318.8,0.11,QMOF reference
qmof-f6826dd,315.0,0.71,QMOF reference
qmof-df25b54,,0.0,QMOF reference
qmof-a822e67,342.5,0.72,QMOF reference
qmof-faf6244,,0.91,QMOF reference
qmof-637e6e5,,0.47,QMOF reference
qmof-3f0e645,366.3,0.73,QMOF reference
qmof-8cadfa4,,0.39,QMOF reference
qmof-673bd4c,347.3,0.78,QMOF reference
qmof-2547c0c,,0.87,QMOF reference
qmof-b978417,321.9,0.33,QMOF reference
qmof-fa87b9a,,0.5,QMOF reference
qmof-2f987c8,251.7,0.82,QMOF reference
qmof-5b4423d,,0.69,QMOF reference
qmof-59256e9,,0.74,QMOF reference
qmof-cd58281,355.6,0.66,QMOF reference
qmof-0b7dc93,,0.89,QMOF reference
qmof-5b98878,288.1,0.58,QMOF reference
qmof-a3a6bff,387.5,FAILED,QMOF reference
qmof-0922e10,,0.37,QMOF reference
qmof-6adf485,,0.59,QMOF reference
qmof-534e40b,,0.43,QMOF reference
qmof-2499b88,308.2,0.9,QMOF reference
qmof-1dedbf9,,0.61,QMOF reference
qmof-c65a3b9,,0.81,QMOF reference
qmof-71b6144,369.7,FAILED,QMOF reference
qmof-dd61915,,0.94,QMOF reference
qmof-e444654,,FAILED,QMOF reference
qmof-e2e9016,332.9,0.86,QMOF reference
qmof-6f17d1f,,0.92,QMOF reference
qmof-ca1bbc9,,0.14,QMOF reference
qmof-daed87b,292.5,0.13,QMOF reference
qmof-8f1ddfa,317.5,0.22,QMOF reference
qmof-6494c32,,0.91,QMOF reference
qmof-784eb1d,395.2,0.14,QMOF reference
qmof-4b12f48,,FAILED,QMOF reference
qmof-772af30,,0.84,QMOF reference
qmof-a077695,350.3,0.83,QMOF reference
qmof-e6c4516,,0.91,QMOF reference
qmof-5d03e27,,0.3,QMOF reference
qmof-bbe0c07,,0.95,QMOF reference
qmof-d8112f8,,FAILED,QMOF reference
qmof-27041f1,,0.48,QMOF reference
qmof-202750c,,0.42,QMOF reference
qmof-6723029,516.2,0.82,QMOF reference
qmof-f645d00,,FAILED,QMOF reference
qmof-4d6bad6,,0.98,QMOF reference
qmof-ac0835b,,0.28,QMOF reference
qmof-4eaa3ff,,0.35,QMOF reference
qmof-da04278,,0.14,QMOF reference
qmof-fdf21ae,432.3,0.59,QMOF reference
qmof-b8f1825,,0.53,QMOF reference
qmof-67a660f,,0.78,QMOF reference
qmof-b9e6452,,0.95,QMOF reference
qmof-2593f7a,,FAILED,QMOF reference
qmof-81581d3,284.4,FAILED,QMOF reference
qmof-bce1fb6,,FAILED,QMOF reference
qmof-a37670b,400.5,0.86,QMOF reference
qmof-9b43c00,,0.79,QMOF reference
qmof-a0b4bb0,,0.77,QMOF reference
qmof-36a49d4,,0.96,QMOF reference
qmof-a6c3e4f,,0.74,QMOF reference
qmof-678f27b,,0.56,QMOF reference
qmof-5a5a67f,,0.16,QMOF reference
qmof-7f1a187,,0.21,QMOF reference
qmof-0c3a6da,,0.66,QMOF reference
qmof-8dd5b92,192.3,0.81,QMOF reference
qmof-a9e26ed,,FAILED,QMOF reference
qmof-9753081,,0.48,QMOF reference
qmof-ecf163d,,0.76,QMOF reference
qmof-1af2219,403.4,0.5,QMOF reference
qmof-2d90005,,0.89,QMOF reference
qmof-b84e7ef,351.4,0.36,QMOF reference
qmof-7abe260,,0.91,QMOF reference
qmof-eeefa67,358.3,FAILED,QMOF reference
qmof-f5309bb,,0.39,QMOF reference
qmof-fe38504,340.9,0.77,QMOF reference
qmof-d5dcdb2,,0.8,QMOF reference
qmof-1d9bb36,326.7,0.88,QMOF reference
qmof-f59ae17,,0.61,QMOF reference
qmof-f275516,,0.94,QMOF reference
qmof-6011be7,,FAILED,QMOF reference
qmof-efa5caa,,0.23,QMOF reference
qmof-0c4972e,,0.44,QMOF reference
qmof-dbb129d,351.9,0.96,QMOF reference
qmof-f198a27,,0.22,QMOF reference
qmof-97ced67,,0.75,QMOF reference
qmof-2b65e1f,,0.78,QMOF reference
qmof-ef51e3b,,0.86,QMOF reference
qmof-8fdd4e6,,0.91,QMOF reference
qmof-75d666e,,0.51,QMOF reference
qmof-e38806a,,0.94,QMOF reference
qmof-4759164,,0.84,QMOF reference
qmof-549488d,,0.11,QMOF reference
qmof-4dc80e6,,0.17,QMOF reference
qmof-8edd41c,,FAILED,QMOF reference
qmof-e79e847,,0.25,QMOF reference
qmof-d30da48,,0.64,QMOF reference
qmof-fd73264,,0.53,QMOF reference
qmof-4d370e9,,0.65,QMOF reference
qmof-bf54995,,0.92,QMOF reference
qmof-7f16a04,,0.84,QMOF reference
qmof-4366c64,,0.13,QMOF reference
qmof-8d86a35,,0.19,QMOF reference
qmof-f7fd5b1,,FAILED,QMOF reference
qmof-1d420f0,,FAILED,QMOF reference
qmof-8977f91,,0.15,QMOF reference
qmof-596e2b4,,0.19,QMOF reference
qmof-3f0a2ed,,0.78,QMOF reference
qmof-fd9adfa,,FAILED,QMOF reference
qmof-68234b7,,0.89,QMOF reference
qmof-df50092,,0.89,QMOF reference
qmof-cc4894a,,FAILED,QMOF reference
qmof-8ed907c,,FAILED,QMOF reference
qmof-db6fde8,,0.78,QMOF reference
qmof-6941c22,,FAILED,QMOF reference
qmof-7847c76,,0.93,QMOF reference
qmof-c776af3,,0.92,QMOF reference
qmof-1b62c0a,,0.08,QMOF reference
qmof-58ce40e,,0.72,QMOF reference
qmof-bb8d268,,0.71,QMOF reference
qmof-c43ce88,,0.61,QMOF reference
qmof-65356da,,FAILED,QMOF reference
qmof-da71b94,,FAILED,QMOF reference
qmof-1072fba,,0.86,QMOF reference
qmof-db57196,,FAILED,QMOF reference
qmof-16757dd,,0.57,QMOF reference
qmof-778c29c,,0.74,QMOF reference
qmof-9c487ce,,0.14,QMOF reference
qmof-d01066a,,0.82,QMOF reference
qmof-76e817e,,0.88,QMOF reference
qmof-fcd9e5c,,0.4,QMOF reference
qmof-211a3ec,,0.35,QMOF reference
qmof-2762336,,0.81,QMOF reference
qmof-fd541d7,,FAILED,QMOF reference
qmof-7185c72,,0.95,QMOF reference
qmof-85ff590,,0.67,QMOF reference
qmof-073a0d6,,0.89,QMOF reference
qmof-0e25fad,,0.53,QMOF reference
qmof-47efcfb,,0.57,QMOF reference
qmof-2c1bb43,,0.24,QMOF reference
qmof-8f9a581,,0.21,QMOF reference
qmof-909d17d,,0.91,QMOF reference
qmof-aa812e3,,FAILED,QMOF reference
qmof-ffed86d,,0.76,QMOF reference
qmof-88c21f5,,0.76,QMOF reference
qmof-3f46332,,0.92,QMOF reference
qmof-12b9530,,0.57,QMOF reference
qmof-1e81b2d,,0.94,QMOF reference
qmof-291c11a,,0.88,QMOF reference
qmof-be19282,,0.09,QMOF reference
qmof-2de6209,,0.22,QMOF reference
qmof-81894a6,,0.8,QMOF reference
qmof-81ce5ac,,FAILED,QMOF reference
qmof-477bf52,,0.49,QMOF reference
qmof-5fa242c,,0.74,QMOF reference
qmof-c7d5864,,0.9,QMOF reference
qmof-fe1b0fe,,0.92,QMOF reference
qmof-f191a19,,0.89,QMOF reference
qmof-38bb2e6,,0.72,QMOF reference
qmof-c1a99db,,FAILED,QMOF reference
qmof-ec02694,,FAILED,QMOF reference
qmof-90c3233,,0.16,QMOF reference
qmof-fd2113b,,0.88,QMOF reference
qmof-d3f2126,,0.49,QMOF reference
qmof-05cdfed,,0.39,QMOF reference
qmof-11ec06f,,0.47,QMOF reference
qmof-d9a708b,,0.53,QMOF reference
qmof-835e4e4,,0.1,QMOF reference
qmof-a4041be,353.9,0.2,QMOF reference
qmof-27e2c83,,0.91,QMOF reference
qmof-3f72143,298.1,0.88,QMOF reference
qmof-d03b683,,0.91,QMOF reference
qmof-e3dcc4d,,0.91,QMOF reference
qmof-130d8c4,,0.6,QMOF reference
qmof-c19b211,,0.92,QMOF reference
qmof-7b525e0,402.2,0.51,QMOF reference
qmof-2531f43,,0.66,QMOF reference
qmof-eaa4957,,0.68,QMOF reference
qmof-e64eb2b,283.4,0.64,QMOF reference
qmof-5e98a79,328.7,FAILED,QMOF reference
qmof-d7af147,,0.14,QMOF reference
qmof-0f66924,309.6,0.77,QMOF reference
qmof-185bbaf,,0.85,QMOF reference
qmof-790e2d4,,0.41,QMOF reference
qmof-bdc4c33,292.7,0.84,QMOF reference
qmof-5fbf730,304.0,0.83,QMOF reference
qmof-b7041f4,,0.69,QMOF reference
qmof-f212589,,0.88,QMOF reference
qmof-82fb334,304.5,0.79,QMOF reference
qmof-ae0f40c,,FAILED,QMOF reference
qmof-b60c035,338.0,0.62,QMOF reference
qmof-6a6c7b4,,0.66,QMOF reference
qmof-64280ff,,0.78,QMOF reference
qmof-9cc5266,352.8,0.89,QMOF reference
qmof-7e553ed,,FAILED,QMOF reference
qmof-3f72d8d,,0.78,QMOF reference
qmof-b12c68c,,0.8,QMOF reference
qmof-0ed4bf6,297.1,FAILED,QMOF reference
qmof-7808950,327.2,0.88,QMOF reference
qmof-381c535,,FAILED,QMOF reference
qmof-f8c7a01,244.2,FAILED,QMOF reference
qmof-d4fb316,,FAILED,QMOF reference
qmof-f59c253,384.7,0.23,QMOF reference
qmof-839f4a1,,FAILED,QMOF reference
qmof-da6f5e7,,0.85,QMOF reference
qmof-eae2192,,0.96,QMOF reference
qmof-1c7a916,379.2,0.72,QMOF reference
qmof-6c9cd43,359.3,0.6,QMOF reference
qmof-67822fb,,0.38,QMOF reference
qmof-3e7690a,320.2,0.69,QMOF reference
qmof-6e6b22b,293.3,FAILED,QMOF reference
qmof-8decf5b,,0.27,QMOF reference
qmof-61b7fa5,441.0,0.89,QMOF reference
qmof-ed024a5,,0.87,QMOF reference
qmof-b2c9f1f,,0.59,QMOF reference
qmof-4e205dc,,0.79,QMOF reference
qmof-1741e10,,FAILED,QMOF reference
qmof-d277af2,,0.32,QMOF reference
qmof-572f35a,,0.91,QMOF reference
qmof-d1a13c7,,0.6,QMOF reference
qmof-624638b,,0.8,QMOF reference
qmof-f982c5a,273.2,0.64,QMOF reference
qmof-36dafb7,342.4,0.39,QMOF reference
qmof-5bd4a24,,0.94,QMOF reference
qmof-4024415,,0.44,QMOF reference
qmof-8615dad,319.3,0.86,QMOF reference
qmof-66a37f1,,0.36,QMOF reference
qmof-04bf78f,,0.78,QMOF reference
qmof-5990a30,,FAILED,QMOF reference
qmof-6df3cab,,0.71,QMOF reference
qmof-6b7b775,,FAILED,QMOF reference
qmof-c4c5c23,,0.44,QMOF reference
qmof-cfcdbd2,,0.47,QMOF reference
qmof-3b123f8,,0.88,QMOF reference
qmof-2a12314,,FAILED,QMOF reference
qmof-a51c5af,,0.72,QMOF reference
qmof-1026675,,0.93,QMOF reference
qmof-f747cbc,,0.74,QMOF reference
qmof-d1420b5,,FAILED,QMOF reference
qmof-73e0d48,,0.55,QMOF reference
qmof-8782178,,0.72,QMOF reference
qmof-22abcf3,,0.79,QMOF reference
qmof-b976080,,0.66,QMOF reference
qmof-32c39f9,,0.92,QMOF reference
qmof-2c3b167,,0.94,QMOF reference
qmof-c3ee816,,FAILED,QMOF reference
qmof-d544575,,0.66,QMOF reference
qmof-461e21e,,FAILED,QMOF reference
qmof-ce59b58,,0.91,QMOF reference
qmof-0589a80,,0.86,QMOF reference
qmof-63fddcc,,FAILED,QMOF reference
qmof-72d3a49,,0.31,QMOF reference
qmof-a71c5cf,,0.18,QMOF reference
qmof-e8169c3,270.6,FAILED,QMOF reference
qmof-a3ce047,371.2,0.88,QMOF reference
qmof-314b33f,,0.96,QMOF reference
qmof-61def2f,,0.47,QMOF reference
qmof-52e7267,442.4,0.77,QMOF reference
qmof-c6e12dd,,0.91,QMOF reference
qmof-195d002,,FAILED,QMOF reference
qmof-47bb195,,0.4,QMOF reference
qmof-b42c7fb,348.0,0.16,QMOF reference
qmof-5b082ad,,0.86,QMOF reference
qmof-f838323,300.7,0.44,QMOF reference
qmof-470a8bb,,0.1,QMOF reference
qmof-46c6f8b,,0.69,QMOF reference
qmof-51e910f,,0.9,QMOF reference
qmof-cf063a9,,0.17,QMOF reference
qmof-6f907db,367.4,0.75,QMOF reference
qmof-c555174,432.2,0.67,QMOF reference
qmof-45e3866,,0.71,QMOF reference
qmof-e6adc28,,0.91,QMOF reference
qmof-7a6a1bc,,0.1,QMOF reference
qmof-44bd001,331.0,0.4,QMOF reference
qmof-c07a718,,0.58,QMOF reference
qmof-a6a5732,,0.78,QMOF reference
qmof-d5a245c,,0.75,QMOF reference
qmof-df44cd7,312.4,0.85,QMOF reference
qmof-cdf64b8,,0.93,QMOF reference
qmof-3bd64b4,,0.88,QMOF reference
qmof-162aabd,370.1,0.89,QMOF reference
qmof-d29bb99,,0.54,QMOF reference
qmof-d450a60,317.8,0.32,QMOF reference
qmof-681c140,,0.77,QMOF reference
qmof-2aec50f,302.0,0.87,QMOF reference
qmof-6513f43,95.7,0.83,QMOF reference
qmof-1814167,,0.39,QMOF reference
qmof-204daad,,0.89,QMOF reference
qmof-eb4d8ca,321.5,0.95,QMOF reference
qmof-f36f74c,,0.86,QMOF reference
qmof-2f9261f,,0.19,QMOF reference
qmof-a1d1c28,,FAILED,QMOF reference
qmof-39e9da1,,0.69,QMOF reference
qmof-b9fe2c9,316.5,0.94,QMOF reference
qmof-07f47c8,337.0,0.61,QMOF reference
qmof-4ffb71f,334.9,0.06,QMOF reference
qmof-4d89bb9,,FAILED,QMOF reference
qmof-74256d1,392.4,0.88,QMOF reference
qmof-1a00b4b,,FAILED,QMOF reference
qmof-2cc1b33,,0.78,QMOF reference
qmof-c4cca42,336.5,0.73,QMOF reference
qmof-692476b,,0.72,QMOF reference
qmof-3b52b38,333.1,0.16,QMOF reference
qmof-eaf7a5c,,0.85,QMOF reference
qmof-236db9d,,0.56,QMOF reference
qmof-be069f9,,0.25,QMOF reference
qmof-e0ee68e,,0.3,QMOF reference
qmof-0880913,,0.13,QMOF reference
qmof-7698e93,304.2,0.97,QMOF reference
qmof-53c6dbb,,0.8,QMOF reference
qmof-130af1f,,0.6,QMOF reference
qmof-69ee5ab,320.0,0.52,QMOF reference
qmof-9941a66,271.4,0.83,QMOF reference
qmof-8cdbc5f,276.5,0.78,QMOF reference
qmof-cf6e5de,,0.76,QMOF reference
qmof-4a53e06,335.7,0.78,QMOF reference
qmof-a433ce3,,0.81,QMOF reference
qmof-902290d,,0.72,QMOF reference
qmof-4d3ba60,,0.96,QMOF reference
qmof-098de98,,0.71,QMOF reference
qmof-f681436,,0.76,QMOF reference
qmof-225a152,364.1,FAILED,QMOF reference
qmof-defff0e,391.4,0.97,QMOF reference
qmof-2f0cdb2,,0.24,QMOF reference
qmof-96928dc,,FAILED,QMOF reference
qmof-9570dfb,328.2,0.91,QMOF reference
qmof-e16acde,,0.32,QMOF reference
qmof-d5bb0a6,,0.5,QMOF reference
qmof-eee1f70,,0.45,QMOF reference
qmof-b85d555,264.1,0.43,QMOF reference
qmof-264c381,,0.07,QMOF reference
qmof-fa8d0c5,325.2,0.9,QMOF reference
qmof-65cbaf5,280.1,0.67,QMOF reference
qmof-0cd5578,,FAILED,QMOF reference
qmof-249932b,325.5,0.26,QMOF reference
qmof-cfb4f79,,0.62,QMOF reference
qmof-de78dd0,,0.87,QMOF reference
qmof-2a36f96,252.7,FAILED,QMOF reference
qmof-70ee38e,,0.78,QMOF reference
qmof-810b64d,,0.71,QMOF reference
qmof-f09f760,,FAILED,QMOF reference
qmof-c530710,280.3,0.9,QMOF reference
qmof-6fd4328,,FAILED,QMOF reference
qmof-68010e6,270.6,0.56,QMOF reference
qmof-27e3cca,339.0,0.82,QMOF reference
qmof-4b3dce4,315.4,0.43,QMOF reference
qmof-7aca348,,0.94,QMOF reference
qmof-29a7d04,327.2,FAILED,QMOF reference
qmof-95e5d95,,0.9,QMOF reference
qmof-a0936dc,286.5,0.83,QMOF reference
qmof-b4f57d6,,0.62,QMOF reference
qmof-9d1ad9e,405.3,0.41,QMOF reference
qmof-7efb78c,,0.75,QMOF reference
qmof-7269376,,0.61,QMOF reference
qmof-9694e67,325.5,FAILED,QMOF reference
qmof-2418d4d,,FAILED,QMOF reference
qmof-7556fd5,342.3,0.6,QMOF reference
qmof-2f9a271,,FAILED,QMOF reference
qmof-ac9eb6b,,0.49,QMOF reference
qmof-3657264,383.6,0.85,QMOF reference
qmof-b596173,,0.92,QMOF reference
qmof-dc34a8d,351.4,0.57,QMOF reference
qmof-cd994e3,,0.66,QMOF reference
qmof-6262763,,0.15,QMOF reference
qmof-3597a65,,FAILED,QMOF reference
qmof-558431c,302.7,0.78,QMOF reference
qmof-15eff87,,0.86,QMOF reference
qmof-0c2559f,,0.52,QMOF reference
qmof-20e5839,303.4,0.83,QMOF reference
qmof-01be70a,,0.92,QMOF reference
qmof-79a21b4,175.2,0.9,QMOF reference
qmof-b211b3d,337.6,0.27,QMOF reference
qmof-7d1948c,418.7,0.33,QMOF reference
qmof-3876daa,316.0,0.22,QMOF reference
qmof-8d44302,,FAILED,QMOF reference
qmof-8fbc5fe,,0.18,QMOF reference
qmof-8363535,,0.09,QMOF reference
qmof-d6d8373,,0.8,QMOF reference
qmof-e45b793,285.7,0.94,QMOF reference
qmof-91482b3,305.3,0.3,QMOF reference
qmof-ff37c01,,0.92,QMOF reference
qmof-9df353e,,0.82,QMOF reference
qmof-445834a,,0.4,QMOF reference
qmof-c2bd3f5,,0.88,QMOF reference
qmof-06c8264,,0.69,QMOF reference
qmof-3b4f59b,,0.14,QMOF reference
qmof-2d5d814,,0.18,QMOF reference
qmof-312525c,,0.7,QMOF reference
qmof-920db9a,,FAILED,QMOF reference
qmof-d4582ac,,0.12,QMOF reference
qmof-10f2b04,,0.7,QMOF reference
qmof-54296f8,,0.63,QMOF reference
qmof-330d191,,0.09,QMOF reference
qmof-84db2cd,,FAILED,QMOF reference
qmof-ae70be0,,0.3,QMOF reference
qmof-c906ab4,,FAILED,QMOF reference
qmof-1fe2c67,,0.55,QMOF reference
qmof-774a757,,0.69,QMOF reference
qmof-48b7d44,,0.45,QMOF reference
qmof-8d40aab,,0.88,QMOF reference
qmof-fcb408b,,FAILED,QMOF reference
qmof-61e9800,,0.92,QMOF reference
qmof-49c233f,,0.94,QMOF reference
qmof-8ee832a,,FAILED,QMOF reference
qmof-e4a5ede,,0.13,QMOF reference
qmof-7f1491f,,0.26,QMOF reference
qmof-6761fd3,,0.21,QMOF reference
qmof-b921f17,,FAILED,QMOF reference
qmof-4c5e636,,0.84,QMOF reference
qmof-6b038a5,,0.89,QMOF reference
qmof-ba1edaa,,0.91,QMOF reference
qmof-7a361fd,,0.5,QMOF reference
qmof-75920df,,0.92,QMOF reference
qmof-cb0c828,,0.93,QMOF reference
qmof-9593a59,,0.82,QMOF reference
qmof-3e749fa,,0.87,QMOF reference
qmof-319e5df,,FAILED,QMOF reference
qmof-e6be400,,0.66,QMOF reference
qmof-1c25053,,0.72,QMOF reference
qmof-4fe6fe2,,0.73,QMOF reference
qmof-9ed028e,,0.42,QMOF reference
qmof-191c415,,0.58,QMOF reference
qmof-8713184,,0.61,QMOF reference
qmof-9c49b78,,0.99,QMOF reference
qmof-918c8d1,,0.09,QMOF reference
qmof-0f5c9ec,,0.92,QMOF reference
qmof-15486a3,,0.9,QMOF reference
qmof-2d83ac3,,0.39,QMOF reference
qmof-cd16e60,,0.7,QMOF reference
qmof-da83b42,,0.8,QMOF reference
qmof-2461a2e,,FAILED,QMOF reference
qmof-5e34c74,,0.65,QMOF reference
qmof-cfe9104,,0.95,QMOF reference
qmof-4c113e7,,0.55,QMOF reference
qmof-576fe59,,0.22,QMOF reference
qmof-08c1883,,0.82,QMOF reference
qmof-4fdbbf3,,0.97,QMOF reference
qmof-5bf7e0d,,0.46,QMOF reference
qmof-3adbe2b,,0.84,QMOF reference
qmof-a80bb05,,0.92,QMOF reference
qmof-e0c423e,,0.3,QMOF reference
qmof-f5560a3,,0.76,QMOF reference
qmof-6347cc3,,0.64,QMOF reference
qmof-4c88fab,,0.91,QMOF reference
qmof-a2f7834,,0.38,QMOF reference
qmof-46ebf41,,FAILED,QMOF reference
qmof-a6fc90c,,0.46,QMOF reference
qmof-0b08cba,,0.43,QMOF reference
qmof-ee232e2,,0.01,QMOF reference
qmof-8707b97,,0.78,QMOF reference
qmof-280792c,,0.8,QMOF reference
qmof-e0c96d6,,0.71,QMOF reference
qmof-6d06fe8,,0.89,QMOF reference
qmof-1af804d,,0.88,QMOF reference
qmof-2f4a13b,,0.38,QMOF reference
qmof-bfd7979,,FAILED,QMOF reference
qmof-3769d75,,0.62,QMOF reference
qmof-3b8baba,,0.33,QMOF reference
qmof-edbe407,,0.94,QMOF reference
qmof-eeec44f,,0.92,QMOF reference
qmof-84773bf,,0.87,QMOF reference
qmof-78ccc0f,,0.67,QMOF reference
qmof-08db044,,0.65,QMOF reference
qmof-65294ad,,0.45,QMOF reference
qmof-27a2b4b,,0.94,QMOF reference
qmof-32f203f,,FAILED,QMOF reference
qmof-f1c514f,,0.95,QMOF reference
qmof-536b701,,0.41,QMOF reference
qmof-5811114,,0.44,QMOF reference
qmof-868b2eb,,0.66,QMOF reference
qmof-f7052f3,,0.14,QMOF reference
qmof-d72a836,318.1,0.37,QMOF reference
qmof-1f7045e,,0.84,QMOF reference
qmof-3836f9d,245.5,0.22,QMOF reference
qmof-95ac571,,0.37,QMOF reference
qmof-7867d26,356.0,0.96,QMOF reference
qmof-25349dc,336.5,0.63,QMOF reference
qmof-fa3a819,,0.92,QMOF reference
qmof-58c51cc,,0.86,QMOF reference
qmof-db5d1ed,,0.13,QMOF reference
qmof-4e2f215,,0.91,QMOF reference
qmof-4b51d4c,,FAILED,QMOF reference
qmof-afb7457,,0.9,QMOF reference
qmof-d1ed4a4,358.8,0.28,QMOF reference
qmof-fe7db0d,342.1,0.93,QMOF reference
qmof-43ea8c2,,0.82,QMOF reference
qmof-69fe45b,,0.85,QMOF reference
qmof-6e293a1,,0.44,QMOF reference
qmof-c1f4bcc,,0.74,QMOF reference
qmof-c579bff,,0.86,QMOF reference
qmof-d80b118,,0.42,QMOF reference
qmof-fe778dc,327.7,0.72,QMOF reference
qmof-2e692fd,,0.33,QMOF reference
qmof-79da80b,,0.77,QMOF reference
qmof-87b09b6,,FAILED,QMOF reference
qmof-6b20b7a,,0.75,QMOF reference
qmof-2208d52,295.5,0.81,QMOF reference
qmof-67716b0,376.9,0.46,QMOF reference
qmof-12380d1,357.6,0.8,QMOF reference
qmof-6db2252,,0.88,QMOF reference
qmof-2246e1d,,0.12,QMOF reference
qmof-e59b3bd,,0.88,QMOF reference
qmof-8161acf,,0.88,QMOF reference
qmof-1bc3291,,FAILED,QMOF reference
qmof-1135fc0,,0.75,QMOF reference
qmof-5747ad3,,FAILED,QMOF reference
qmof-f527291,,0.98,QMOF reference
qmof-8bbce0c,,0.74,QMOF reference
qmof-33386bb,386.7,0.88,QMOF reference
qmof-ac06537,265.5,0.29,QMOF reference
qmof-401a2c2,317.4,0.92,QMOF reference
qmof-12d3e65,,0.69,QMOF reference
qmof-417545d,,0.57,QMOF reference
qmof-25c9c0b,285.5,0.69,QMOF reference
qmof-308748b,,FAILED,QMOF reference
qmof-abe34ab,,0.23,QMOF reference
qmof-1a60246,,0.86,QMOF reference
qmof-d72ac4d,,0.79,QMOF reference
qmof-c430d7c,,0.56,QMOF reference
qmof-455827c,,0.86,QMOF reference
qmof-a471706,,0.37,QMOF reference
qmof-45a48df,,FAILED,QMOF reference
qmof-150730f,,0.73,QMOF reference
qmof-f22f6f8,,0.66,QMOF reference
qmof-1a6cb27,,0.96,QMOF reference
qmof-ae1a5ff,,0.72,QMOF reference
qmof-20f92bb,,0.65,QMOF reference
