mof_id,formula,formation_energy_eV_per_atom,energy_eV,method,space_group
C48H24N12O21Zn4-1_11-MACE-OMat-D3,C48H24N12O21Zn4-1_11-MACE-OMat-D3,-0.228895,-752.55,MACE-OMat-D3,P1
C44H28N16O13Zn4-2_5-MACE-OMat-D3,C44H28N16O13Zn4-2_5-MACE-OMat-D3,-0.180658,-716.56,MACE-OMat-D3,P1
C44H24N8O13S4Zn4-2_5-MACE-OMat-D3,C44H24N8O13S4Zn4-2_5-MACE-OMat-D3,-0.204398,-654.201,MACE-OMat-D3,P1
C44H24N8O13S4Zn4-1_3-MACE-OMat-D3,C44H24N8O13S4Zn4-1_3-MACE-OMat-D3,-0.123927,-646.395,MACE-OMat-D3,P1
C24H24O17Zn4-2-r2SCAN-D4,C24H24O17Zn4-2-r2SCAN-D4,-0.511754,-493.706,r2SCAN-D4,P1
C36H26N6O11Zn4-0_9-r2SCAN-D4,C36H26N6O11Zn4-0_9-r2SCAN-D4,-0.233045,-624.837,r2SCAN-D4,P1
C36H24N6O13Zn4-0_12-r2SCAN-D4,C36H24N6O13Zn4-0_12-r2SCAN-D4,-0.265617,-632.268,r2SCAN-D4,P1
C28H24N8O17Zn4-1_11-r2SCAN-D4,C28H24N8O17Zn4-1_11-r2SCAN-D4,-0.434775,-606.889,r2SCAN-D4,P1
C44H24N8O17Zn4-2_9-r2SCAN-D4,Zn4H24C44N8O17,-0.268028,-757.943,r2SCAN-D4,P1
C42H30N12O10Zn4-3_6-r2SCAN-D4,Zn2H15C21N6O5,-0.145381,-742.757,r2SCAN-D4,P1
C42H24N6O13Zn4-0_1-r2SCAN-D4,Zn4H24C42N6O13,-0.261589,-693.606,r2SCAN-D4,P1
C40H24N8O17Zn4-3_5-r2SCAN-D4,Zn4H24C40N8O17,-0.340435,-723.537,r2SCAN-D4,P1
C40H24N8O25Zn4-1_5-r2SCAN-D4,Zn4H24C40N8O25,-0.259318,-764.636,r2SCAN-D4,P1
C40H24N12O21Zn4-1_14-r2SCAN-D4,Zn4H24C40(N4O7)3,-0.291289,-781.185,r2SCAN-D4,P1
C40H12N8O13Zn4-2_9-r2SCAN-D4,Zn4H12C40N8O13,-0.155272,-639.065,r2SCAN-D4,P1
C48H27N9O13Zn4-0-r2SCAN-D4,Zn4H27C48N9O13,-0.195715,-788.018,r2SCAN-D4,P1
C45H33N6O13Zn4-0_10-r2SCAN-D4,Zn4H33C45N6O13,-0.268453,-758.602,r2SCAN-D4,P1
C36H20N8O21Zn4-1_15-r2SCAN-D4,Zn4H20C36N8O21,-0.251248,-683.626,r2SCAN-D4,P1
C36H18N6O25Zn4-0_9-r2SCAN-D4,Zn4H18C36N6O25,-0.416679,-696.417,r2SCAN-D4,P1
C64H24N8O21Zn4-0_2-r2SCAN-D4,Zn4H24C64N8O21,-0.108351,-968.68,r2SCAN-D4,P1
C60H16N16O13Zn4-3_15-r2SCAN-D4,Zn4H16C60N16O13,-0.0143187,-916.047,r2SCAN-D4,P1
C56H36N12O13Zn4-0_3-r2SCAN-D4,Zn4H36C56N12O13,-0.124213,-921.982,r2SCAN-D4,P1
C56H32N8O13S8Zn4-2_11-r2SCAN-D4,Zn4H32C56S8N8O13,-0.0517543,-927.83,r2SCAN-D4,P1
C56H32N4O17Zn4-0_10-r2SCAN-D4,Zn4H32C56N4O17,-0.22639,-868.782,r2SCAN-D4,P1
C52H36N12O13Zn4-0_8-r2SCAN-D4,Zn4H36C52N12O13,-0.151711,-884.635,r2SCAN-D4,P1
C52H28N8O13Zn4-3_2-r2SCAN-D4,Zn4H28C52N8O13,-0.19802,-823.417,r2SCAN-D4,P1
C44H32N32O13Zn4-3_3-r2SCAN-D4,Zn4H32C44N32O13,-0.0811998,-966.093,r2SCAN-D4,P1
C44H40N20O17Zn4-1_8-r2SCAN-D4,Zn4H40C44N20O17,-0.275939,-931.561,r2SCAN-D4,P1
C42H30N12O16Zn4-0_5-r2SCAN-D4,Zn2H15C21(N3O4)2,-0.320192,-796.736,r2SCAN-D4,P1
C52H24N8O17Zn4-2_12-r2SCAN-D4,Zn4H24C52N8O17,-0.225591,-835.768,r2SCAN-D4,P1
C52H28N4O21Zn4-2_9-r2SCAN-D4,Zn4H28C52N4O21,-0.350597,-850.803,r2SCAN-D4,P1
C52H28N4O21Zn4-1_17-r2SCAN-D4,Zn4H28C52N4O21,-0.331534,-848.725,r2SCAN-D4,P1
C52H28N12O17Zn4-1_5-r2SCAN-D4,Zn4H28C52N12O17,-0.162175,-880.839,r2SCAN-D4,P1
C48H36N6O13S3Zn4-3_7-r2SCAN-D4,Zn4H36C48S3N6O13,-0.197457,-818.023,r2SCAN-D4,P1
C48H32N8O17Zn4-0_3-r2SCAN-D4,Zn4H32C48N8O17,-0.21704,-823.326,r2SCAN-D4,P1
