Angle,AA_3-12-2_Zn-DMF
4.8993400,.0024834
4.9197570,.0026257
4.9401740,.0024123
4.9605910,.0035570
4.9810090,.0038933
5.0014260,.0043913
5.0218430,.0037575
5.0422600,.0035117
5.0626770,.0029426
5.0830950,.0025675
5.1035120,.0022247
5.1239290,.0031108
5.1443460,.0040938
5.1647630,.0032983
5.1851810,.0030525
5.2055980,.0033242
5.2260150,.0022377
5.2464320,.0020971
5.2668490,.0025791
5.2872660,.0018082
5.3076830,.0008839
5.3281010,.0014875
5.3485180,.0003126
5.3689350,-.0001186
5.3893520,.0005821
5.4097700,.0016384
5.4301870,.0011425
5.4506040,.0016815
5.4710210,.0021234
5.4914380,.0025007
5.5118560,.0024576
5.5322730,.0028672
5.5526900,.0024683
5.5731070,.0027809
5.5935240,.0033522
5.6139410,.0025653
5.6343580,.0027809
5.6547760,.0026085
5.6751930,.0023390
5.6956100,.0009378
5.7160270,.0017677
5.7364440,.0010132
5.7568620,.0011641
5.7772790,.0012503
5.7976960,.0015953
5.8181130,.0012288
5.8385310,.0012503
5.8589470,.0013310
5.8793640,.0013413
5.8997820,.0013137
5.9201990,.0017979
5.9406160,.0025998
5.9610330,.0032078
5.9814510,.0035570
6.0018680,.0042943
6.0222850,.0037057
6.0427020,.0035053
6.0631190,.0036281
6.0835370,.0024899
6.1039540,.0011900
6.1243710,.0011188
6.1447880,.0015004
6.1652050,.0017203
6.1856220,.0015521
6.2060390,.0017397
6.2264570,.0022183
6.2468740,.0018884
6.2672910,.0012029
6.2877080,.0010994
6.3081250,.0025804
6.3285430,.0021213
6.3489600,.0019208
6.3693770,.0018173
6.3897940,.0022312
6.4102120,.0009960
6.4306290,.0008601
6.4510460,.0007890
6.4714630,.0012029
6.4918800,.0012288
6.5122970,.0026451
6.5327140,.0037057
6.5531320,.0039580
6.5735490,.0040162
6.5939660,.0046241
6.6143830,.0029685
6.6348000,.0021536
6.6552180,.0020501
6.6756350,.0018173
6.6960520,.0018108
6.7164690,.0026774
6.7368870,.0024770
6.7573040,.0026968
6.7777210,.0028521
6.7981380,.0028456
6.8185550,.0030008
6.8389720,.0034147
6.8593890,.0026645
6.8798070,.0031257
6.9002240,.0030843
6.9206410,.0026052
6.9410580,.0025291
6.9614750,.0026618
6.9818930,.0016305
7.0023100,.0016986
7.0227270,.0016697
7.0431440,.0013497
7.0635610,.0027436
7.0839790,.0035555
7.1043960,.0029769
7.1248130,.0029804
7.1452300,.0024343
7.1656470,.0010797
7.1860640,.0005982
7.2064810,.0006988
7.2268990,.0008641
7.2473160,.0015144
7.2677330,.0015180
7.2881500,.0024270
7.3085680,.0026247
7.3289850,.0030164
7.3494020,.0041843
7.3698190,.0047055
7.3902360,.0038038
7.4106540,.0046160
7.4310700,.0039731
7.4514880,.0030392
7.4719050,.0025902
7.4923220,.0032732
7.5127390,.0024687
7.5331560,.0029900
7.5535740,.0028323
7.5739910,.0039359
7.5944080,.0035196
7.6148250,.0033296
7.6352420,.0031073
7.6556600,.0030791
7.6760770,.0021454
7.6964940,.0021495
7.7169110,.0022831
7.7373290,.0026431
7.7577450,.0039732
7.7781620,.0045273
7.7985800,.0053724
7.8189970,.0063793
7.8394140,.0075478
7.8598310,.0095570
7.8802490,.0120836
7.9006660,.0150307
7.9210830,.0189156
7.9415000,.0244174
7.9619170,.0332822
7.9823350,.0504576
8.0027510,.0861292
8.0231690,.1577589
8.0435860,.2665430
8.0640030,.3801128
8.0844200,.4638039
8.1048370,.4777133
8.1252550,.4199333
8.1456720,.3165591
8.1660890,.2022230
8.1865060,.1120099
8.2069230,.0683610
8.2273410,.0539765
8.2477580,.0447011
8.2681750,.0364605
8.2885920,.0256976
8.3090100,.0187829
8.3294270,.0173007
8.3498440,.0189552
8.3702610,.0236171
8.3906780,.0344229
8.4110960,.0505319
8.4315130,.0610791
8.4519300,.0604702
8.4723470,.0544288
8.4927640,.0420495
8.5131820,.0237851
8.5335980,.0104682
8.5540150,.0069170
8.5744320,.0060497
8.5948500,.0048915
8.6152670,.0050267
8.6356840,.0049679
8.6561010,.0050385
8.6765180,.0053031
8.6969360,.0052443
8.7173530,.0046036
8.7377700,.0049653
8.7581870,.0047774
8.7786050,.0045249
8.7990220,.0051778
8.8194390,.0050548
8.8398560,.0048670
8.8602730,.0049379
8.8806910,.0044915
8.9011080,.0036246
8.9215250,.0039543
8.9419420,.0046721
8.9623590,.0044522
8.9827770,.0051054
9.0031940,.0064701
9.0236110,.0068001
9.0440280,.0067743
9.0644450,.0073306
9.0848630,.0070138
9.1052800,.0065354
9.1256970,.0057983
9.1461140,.0048995
9.1665310,.0038715
9.1869480,.0034903
9.2073650,.0023654
9.2277820,.0022429
9.2481990,.0020881
9.2686170,.0022890
9.2890340,.0029102
9.3094510,.0032405
9.3298680,.0039911
9.3502860,.0042568
9.3707030,.0048135
9.3911200,.0043355
9.4115370,.0043103
9.4319540,.0034443
9.4523720,.0034514
9.4727890,.0024561
9.4932060,.0019781
9.5136230,.0021469
9.5340400,.0017984
9.5544580,.0020966
9.5748750,.0023948
9.5952920,.0025961
9.6157090,.0025710
9.6361270,.0028693
9.6565440,.0027150
9.6769610,.0034660
9.6973780,.0034733
9.7177950,.0037392
9.7382130,.0037789
9.7586300,.0033982
9.7790470,.0029852
9.7994630,.0030896
9.8198800,.0027089
9.8402980,.0028457
9.8607150,.0025944
9.8811320,.0024078
9.9015490,.0022535
9.9219670,.0021316
9.9423840,.0026887
9.9628010,.0027609
9.9832180,.0028653
10.0036400,.0026788
10.0240500,.0027832
10.0444700,.0017559
10.0648900,.0021838
10.0853000,.0022559
10.1057200,.0025221
10.1261400,.0028853
10.1465600,.0036365
10.1669700,.0041290
10.1873900,.0033927
10.2078100,.0030768
10.2282200,.0025023
10.2486400,.0020894
10.2690600,.0013531
10.2894800,.0016193
10.3098900,.0016591
10.3303100,.0014079
10.3507300,.0020914
10.3711500,.0020929
10.3915600,.0022208
10.4119800,.0019254
10.4324000,.0027911
10.4528100,.0029130
10.4732300,.0029703
10.4936500,.0029953
10.5140600,.0035376
10.5344800,.0029805
10.5549000,.0019707
10.5753200,.0021573
10.5957300,.0020529
10.6161500,.0020455
10.6365700,.0019088
10.6569900,.0024835
10.6774000,.0029934
10.6978200,.0031477
10.7182400,.0030110
10.7386500,.0037150
10.7590700,.0036106
10.7794900,.0034416
10.7999100,.0041133
10.8203200,.0046879
10.8407400,.0056506
10.8611600,.0067104
10.8815700,.0075114
10.9019900,.0078274
10.9224100,.0088224
10.9428300,.0078450
10.9632400,.0069969
10.9836600,.0056637
11.0040800,.0048803
11.0245000,.0035471
11.0449100,.0032164
11.0653300,.0031120
11.0857500,.0036220
11.1061600,.0044231
11.1265800,.0045450
11.1470000,.0048610
11.1674100,.0046596
11.1878300,.0044583
11.2082500,.0029634
11.2286700,.0029561
11.2490800,.0030134
11.2695000,.0043318
11.2899200,.0049712
11.3103400,.0056753
11.3307500,.0068967
11.3511700,.0082474
11.3715900,.0089192
11.3920000,.0108843
11.4124200,.0133992
11.4328400,.0145560
11.4532600,.0154864
11.4736700,.0149940
11.4940900,.0131435
11.5145100,.0118750
11.5349200,.0097335
11.5553400,.0078183
11.5757600,.0065175
11.5961800,.0060574
11.6165900,.0045626
11.6370100,.0037792
11.6574300,.0028018
11.6778500,.0024388
11.6982600,.0018170
11.7186800,.0013893
11.7391000,.0019317
11.7595100,.0025711
11.7799300,.0022404
11.8003500,.0020714
11.8207600,.0022904
11.8411800,.0016687
11.8616000,.0008853
11.8820200,.0009750
11.9024300,.0013880
11.9228500,.0014454
11.9432700,.0016321
11.9636900,.0019804
11.9841000,.0027168
12.0045200,.0030329
12.0249400,.0034459
12.0453500,.0036003
12.0657700,.0033343
12.0861900,.0029389
12.1066100,.0025436
12.1270200,.0019542
12.1474400,.0015265
12.1678600,.0017455
12.1882700,.0022232
12.2086900,.0019249
12.2291100,.0021116
12.2495300,.0028157
12.2699400,.0029700
12.2903600,.0032214
12.3107800,.0037638
12.3311900,.0044679
12.3516100,.0045576
12.3720300,.0046796
12.3924500,.0042842
12.4128600,.0045033
12.4332800,.0044960
12.4537000,.0039066
12.4741100,.0035436
12.4945300,.0029865
12.5149500,.0023648
12.5353700,.0020018
12.5557800,.0023825
12.5762000,.0020195
12.5966200,.0021401
12.6170300,.0014832
12.6374500,.0011807
12.6578700,.0005210
12.6782900,.0013473
12.6987000,.0014947
12.7191200,.0016420
12.7395400,.0016923
12.7599600,.0018396
12.7803700,.0018252
12.8007900,.0017785
12.8212100,.0022815
12.8416200,.0021378
12.8620400,.0024791
12.8824600,.0023031
12.9028800,.0023534
12.9232900,.0023390
12.9437100,.0024863
12.9641300,.0024073
12.9845400,.0020048
13.0049600,.0019258
13.0253800,.0018144
13.0458000,.0017677
13.0662100,.0016887
13.0866300,.0019653
13.1070500,.0023390
13.1274600,.0022276
13.1478800,.0023102
13.1683000,.0021342
13.1887200,.0019258
13.2091300,.0019114
13.2295500,.0026731
13.2499700,.0026264
13.2703800,.0030324
13.2908000,.0031474
13.3112200,.0024540
13.3316400,.0021809
13.3520500,.0019725
13.3724700,.0017641
13.3928900,.0017174
13.4133100,.0021234
13.4337200,.0019797
13.4541400,.0021917
13.4745600,.0019510
13.4949700,.0017749
13.5153900,.0022456
13.5358100,.0023929
13.5562300,.0021845
13.5766400,.0023318
13.5970600,.0025438
13.6174800,.0022384
13.6378900,.0019653
13.6583100,.0014336
13.6787300,.0014192
13.6991500,.0009521
13.7195600,.0004527
13.7399800,.0003737
13.7604000,.0005856
13.7808100,.0008623
13.8012300,.0011066
13.8216500,.0009306
13.8420700,.0007868
13.8624800,.0007725
13.8829000,.0003701
13.9033200,.0009054
13.9237300,.0010851
13.9441500,.0010060
13.9645700,.0017030
13.9849900,.0021090
14.0054000,.0020623
14.0258200,.0021450
14.0462400,.0019689
14.0666600,.0015665
14.0870700,.0013581
14.1074900,.0007294
14.1279100,.0009090
14.1483200,.0011857
14.1687400,.0014623
14.1891600,.0013186
14.2095700,.0015306
14.2299900,.0014192
14.2504100,.0016959
14.2708300,.0016168
14.2912400,.0016671
14.3116600,.0014911
14.3320800,.0013473
14.3525000,.0011390
14.3729100,.0005749
14.3933300,.0005282
14.4137500,.0004491
14.4341600,.0004977
14.4545800,.0006093
14.4750000,.0012689
14.4954200,.0012478
14.5158300,.0015483
14.5362500,.0019458
14.5566700,.0017936
14.5770800,.0015121
14.5975000,.0014893
14.6179200,.0015958
14.6383400,.0013143
14.6587500,.0010327
14.6791700,.0008159
14.6995900,.0008254
14.7200100,.0008350
14.7404200,.0007798
14.7608400,.0012744
14.7812600,.0017367
14.8016700,.0019402
14.8220900,.0016587
14.8425100,.0019916
14.8629200,.0014191
14.8833400,.0016227
14.9037600,.0018910
14.9241800,.0020623
14.9445900,.0011341
14.9650100,.0014347
14.9854300,.0010239
15.0058500,.0003545
15.0262600,.0001377
15.0466800,.0005030
15.0671000,.0006420
15.0875100,.0004576
15.1079300,.0010816
15.1283500,.0013176
15.1487700,.0015537
15.1691800,.0014340
15.1896000,.0015406
15.2100200,.0011946
15.2304300,.0009456
15.2508500,.0007936
15.2712700,.0005122
15.2916900,.0004896
15.3121000,.0005964
15.3325200,.0006061
15.3529400,.0006805
15.3733500,.0011106
15.3937700,.0016054
15.4141900,.0014858
15.4346100,.0021746
15.4550200,.0025078
15.4754400,.0024852
15.4958600,.0020100
15.5162700,.0022462
15.5366900,.0018356
15.5571100,.0014898
15.5775300,.0011762
15.5979400,.0012184
15.6183600,.0008726
15.6387800,.0009471
15.6591900,.0012156
15.6796100,.0011932
15.7000300,.0012031
15.7204500,.0012777
15.7408600,.0008996
15.7612800,.0004245
15.7817000,.0006931
15.8021200,.0006060
15.8225300,.0005837
15.8429500,.0006906
15.8633700,.0006359
15.8837800,.0009046
15.9042000,.0009793
15.9246200,.0008923
15.9450400,.0010317
15.9654500,.0013974
15.9858700,.0010518
16.0062900,.0012235
16.0267000,.0016216
16.0471200,.0018257
16.0675400,.0020944
16.0879600,.0024279
16.1083700,.0036021
16.1287900,.0054554
16.1492100,.0096369
16.1696200,.0139155
16.1900400,.0181940
16.2104600,.0223109
16.2308800,.0277859
16.2512900,.0307710
16.2717100,.0314279
16.2921300,.0296273
16.3125500,.0261775
16.3329600,.0193971
16.3533800,.0125844
16.3738000,.0078413
16.3942100,.0060407
16.4146300,.0045958
16.4350500,.0046384
16.4554700,.0046164
16.4758800,.0049823
16.4963000,.0044106
16.5167200,.0040652
16.5371300,.0032995
16.5575500,.0025985
16.5779700,.0016387
16.5983800,.0014874
16.6188000,.0016918
16.6392200,.0019285
16.6596400,.0018419
16.6800500,.0020786
16.7004700,.0021860
16.7208900,.0021641
16.7413100,.0019482
16.7617200,.0025084
16.7821400,.0026159
16.8025600,.0023353
16.8229800,.0019901
16.8433900,.0018712
16.8638100,.0015583
16.8842300,.0016011
16.9046400,.0027434
16.9250600,.0041443
16.9454800,.0050279
16.9658900,.0054912
16.9863100,.0057281
17.0067300,.0046716
17.0271500,.0032916
17.0475600,.0023968
17.0679800,.0019223
17.0884000,.0012861
17.1088100,.0012644
17.1292300,.0012426
17.1496500,.0013502
17.1700700,.0012962
17.1904800,.0016302
17.2109000,.0013174
17.2313200,.0011017
17.2517400,.0007243
17.2721500,.0005732
17.2925700,.0005838
17.3129900,.0005622
17.3334000,.0010579
17.3538200,.0015212
17.3742400,.0016936
17.3946600,.0013809
17.4150700,.0017150
17.4354900,.0015316
17.4559100,.0009603
17.4763200,.0011650
17.4967400,.0011757
17.5171600,.0011864
17.5375800,.0010677
17.5579900,.0015958
17.5784100,.0010892
17.5988300,.0013263
17.6192500,.0013693
17.6396600,.0011860
17.6600800,.0014878
17.6805000,.0018866
17.7009100,.0017356
17.7213300,.0019727
17.7417500,.0022422
17.7621700,.0019619
17.7825800,.0016170
17.8030000,.0019187
17.8234200,.0021559
17.8438300,.0021019
17.8642500,.0020480
