0214_Al_Me_s    2theta
BANK 1 5000 5000    CONST 2.0001    0.011229 0 0 FXYE
6.379586    540.000    0
6.390815    539.000    0
6.402045    528.000    0
6.413274    472.000    0
6.424503    460.000    0
6.435733    531.000    0
6.446962    471.000    0
6.458192    537.000    0
6.469421    485.000    0
6.480651    475.000    0
6.49188    526.000    0
6.50311    475.000    0
6.514339    514.000    0
6.525569    542.000    0
6.536798    499.000    0
6.548027    486.000    0
6.559257    535.000    0
6.570486    517.000    0
6.581716    493.000    0
6.592945    484.000    0
6.604175    485.000    0
6.615404    547.000    0
6.626634    529.000    0
6.637863    504.000    0
6.649092    516.000    0
6.660322    513.000    0
6.671551    526.000    0
6.682781    511.000    0
6.69401    550.000    0
6.70524    501.000    0
6.716469    490.000    0
6.727699    505.000    0
6.738928    548.000    0
6.750158    558.000    0
6.761387    546.000    0
6.772616    499.000    0
6.783846    571.000    0
6.795075    595.000    0
6.806305    592.000    0
6.817534    573.000    0
6.828764    635.000    0
6.839993    665.000    0
6.851223    634.000    0
6.862452    675.000    0
6.873681    632.000    0
6.884911    584.000    0
6.89614    642.000    0
6.90737    573.000    0
6.918599    569.000    0
6.929829    552.000    0
6.941058    538.000    0
6.952288    514.000    0
6.963517    532.000    0
6.974747    574.000    0
6.985976    545.000    0
6.997205    612.000    0
7.008435    561.000    0
7.019664    562.000    0
7.030894    582.000    0
7.042123    578.000    0
7.053353    576.000    0
7.064582    597.000    0
7.075812    588.000    0
7.087041    619.000    0
7.09827    582.000    0
7.1095    616.000    0
7.120729    635.000    0
7.131959    671.000    0
7.143188    623.000    0
7.154418    699.000    0
7.165647    738.000    0
7.176877    702.000    0
7.188106    734.000    0
7.199336    763.000    0
7.210565    836.000    0
7.221794    865.000    0
7.233024    918.000    0
7.244253    976.000    0
7.255483    1066.000    0
7.266712    1165.000    0
7.277942    1279.000    0
7.289171    1362.000    0
7.300401    1543.000    0
7.31163    1818.000    0
7.322859    1964.000    0
7.334089    2184.000    0
7.345318    2389.000    0
7.356548    2620.000    0
7.367777    3030.000    0
7.379007    3516.000    0
7.390236    3771.000    0
7.401466    4452.000    0
7.412695    5010.000    0
